artifact_name,source_row_index,split,primary_layer,gold_label,predicted_label,purist_correct,pragmatic_correct,hidden_families,first_failure_owner,first_failure_reason,evidence_exact,selected_operand_complete,deterministic_correct,oracle_candidate_presence,oracle_graph_representability
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,10,validation,final_projected_label,4 per day,4 per day,True,True,cluster_burden;diary_or_log_aggregation;rate_bucket_or_denominator,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,40,validation,final_projected_label,4 per week,4 per week,True,True,rate_bucket_or_denominator;current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,79,validation,final_projected_label,6 to 7 per year,6 to 7 per year,True,True,cluster_burden;current_vs_historical,none,primary layer is Purist-correct,False,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,103,validation,final_projected_label,2 to 4 per year,2 to 4 per year,True,True,current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,128,validation,final_projected_label,17 per month,17 per month,True,True,cluster_burden;current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,156,validation,final_projected_label,1 per 6 day,1 per 6 day,True,True,current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,180,validation,final_projected_label,1 per 7 day,1 per 7 day,True,True,diary_or_log_aggregation,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,182,validation,final_projected_label,1 per 2 day,1 per 2 day,True,True,diary_or_log_aggregation;current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,187,validation,final_projected_label,1 per 7 to 9 day,1 per 7 to 9 day,True,True,cluster_burden;current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,190,validation,final_projected_label,1 per 4 week,1 per 4 week,True,True,cluster_burden;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
