rule_id,group,portability,current_module,current_prediction_effect,proposed_owner,prompt_instruction_status,deterministic_adapter_status,ablation_switch,target_failure_rows,claim_language_constraint,notes
benchmark_repair.canonicalize_seizure_free,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Canonicalize seizure-free predictions into scorer-compatible labels.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.clean_prediction_extras,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Drop trailing prediction extras that break scorer parsing.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.cleanup_commas_final,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Clean comma spacing after fallback repair.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.cleanup_commas_first,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Clean comma spacing and normalize whitespace.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.compress_double_per_range,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Compress double per-period ranges with matching denominators.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.daypart_to_day,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Map night/morning/afternoon/evening denominators to day.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.drop_per_one_final,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Drop per-one denominators after fallback repair.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.drop_per_one_first,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Drop explicit per-one denominators.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.drop_prediction_noise,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Drop approximate and seizure-word noise from prediction labels.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.drop_times_before_per,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Drop redundant times tokens before per.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
