path,lineage,role,status,notes
src/clinical_extraction/tasks/seizure_frequency/gan2026/__init__.py,shared-infrastructure,doc,shared-keep,package init
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/__init__.py,shared-infrastructure,doc,shared-keep,package init for artifact_analysis/
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/architecture_component_ablation.py,hybrid-rules-adjudicator,analyzer,needs-decision,"overlap cluster: ablation; imports hybrid_rules_candidates_llm_adjudicator — superseded-lineage-coupled, audit in Phase C"
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/atlas_hard_slice_diagnostic.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: boundary/seizure-free
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/boundary_state_graph_replay.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: boundary/seizure-free
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/candidate_discovery_matrix.py,hybrid-parallel-state,analyzer,needs-decision,"overlap cluster: candidate/state; references hybrid_parallel_state_candidate_reasoner — superseded-lineage-coupled, audit in Phase C"
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/candidate_set_comparison.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: candidate/state
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/candidate_set_diagnostics.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: candidate/state
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/candidate_set_replay.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: candidate/state
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/candidate_set_union.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: candidate/state
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/candidate_union.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: candidate/state
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/change_only_det_state_family_experiment.py,hybrid-staged-v0,analyzer,needs-decision,"overlap cluster: verification/routing; references staged_hybrid_assembly (v0) — superseded-lineage-coupled, audit in Phase C"
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/change_only_llm_selector_family_experiment.py,hybrid-parallel-state,analyzer,needs-decision,"overlap cluster: verification/routing; references hybrid_parallel_state_candidate_reasoner — superseded-lineage-coupled, audit in Phase C"
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/claim_table_component_ablation.py,llm-only,analyzer,needs-decision,overlap cluster: ablation; built for superseded llm_only_claim_table_selector — audit exclusivity in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/clinical_assessment_diagnostics.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: candidate/state
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/clinical_assessment_first_verifier_experiment.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: verification/routing
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/clinical_assessment_first_verifier_report.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: verification/routing
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/clinical_assessment_forced_choice_verifier_experiment.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: verification/routing
